V1005,year,cluster_label
36761358191642564515,2016,1
36821608196640563603,2016,2
36853515463570563825,2016,1
36853515463570563825,2016,0
36871958523249563208,2016,2
36891684394025568203,2016,0
36943933164120565992,2016,2
36971925358241564908,2016,0
36974133418246564903,2016,2
36974692521998564933,2016,0
36981658411679564503,2016,2
37011496474728290482,2016,3
37118639789128292982,2016,0
37128996301304299388,2016,0
37187025918020290453,2016,1
37189441914704290488,2016,0
37328122474304298888,2016,0
37380092300637292037,2016,0
37409067196337299337,2016,2
37580359094320208853,2016,0
37628751094653298220,2016,3
37670762431982294228,2016,3
37867062149120292953,2016,1
37943548090988298204,2016,0
38171315494320563815,2016,2
38201308395681563415,2016,1
38324184385263563284,2016,0
38325284192497563299,2016,2
38326884193259563258,2016,0
38361633198907565903,2016,3
38361999454939565908,2016,3
38363933354296565992,2016,0
38380265351684564565,2016,2
38385292463463564599,2016,3
38445215199288564499,2016,0
38454115168874563484,2016,3
38491384029374588215,2016,3
38543908386220563692,2016,3
38594192166726564984,2016,0
38723515591435564425,2016,3
38883533194581563825,2016,0
39071358193496564553,2016,0
39074692526960564521,2016,3
39076892411857564585,2016,0
39076892411857564585,2016,1
39090284684959565994,2016,0
39095299412965565974,2016,0
39096899414956565985,2016,3
39101615460348563864,2016,1
39111325026412563853,2016,0
39111608413144563864,2016,0
39116815192073563885,2016,0
39141392463927564453,2016,0
39144608524844564421,2016,0
39145292681269564489,2016,0
39431658418512563464,2016,1
39473933357469563212,2016,0
39475265023758563274,2016,3
39616833590410565985,2016,0
39621625027339564964,2016,3
39621925357018564989,2016,0
39623525418245564976,2016,1
39624665358248564921,2016,2
39701908340538563689,2016,1
39703508366221563676,2016,1
39711992685749563689,2016,0
39714192165797563657,2016,1
39791908687669565689,2016,0
39794103417695565664,2016,2
39861358398360568253,2016,1
39861658414061568264,2016,1
40120208359584564465,2016,3
40123933166064564492,2016,0
40125215199283564499,2016,1
40185203199084565699,2016,0
40314125161763563484,2016,0
40533558460132565625,2016,3
40533903527618565692,2016,3
40571625396728564903,2016,1
40574692351956564933,2016,3
40575225396763564999,2016,1
40604115163902564484,2016,0
40741984529912563208,2016,2
40743984522671563292,2016,0
40763558441699564525,2016,0
40763592026967564525,2016,1
40853508192020563825,2016,0
40855203190311563899,2016,1
40935233464197565999,2016,0
40941699444176565903,2016,1
40943984524119565992,2016,3
40944684130095565933,2016,2
40946858410097565958,2016,2
42010351880528723782,2016,0
42080205470682292028,2016,0
42189059474693298242,2016,1
42227207953029292829,2016,2
42278726090653292020,2016,0
42327241436329299329,2016,3
42344078938937298837,2016,3
42409805956393299342,2016,0
42489427090904298288,2016,0
42565996370129294229,2016,0
42596678479542293793,2016,1
42602651436382299328,2016,3
42672105194753290420,2016,1
42737448199188292904,2016,1
42909427094604298288,2016,3
42928449099120292953,2016,2
42975805376228295382,2016,0
44120208351274564494,2016,3
44121392193950564453,2016,1
44150203133831565694,2016,0
44176815198111563885,2016,1
44201365135684563494,2016,3
44205284685676563489,2016,2
44211908136669563689,2016,1
44221699168903565912,2016,2
44224684198923565953,2016,3
44253958353480564512,2016,0
44271308133874565694,2016,2
44274665523868565621,2016,3
44295265683618568289,2016,3
44323965688718563212,2016,0
44364133350892585957,2016,3
44364184132961565957,2016,0
44364633458994565921,2016,1
44380265352737564594,2016,3
44381665461638564564,2016,1
44383558462764564576,2016,3
44403508164962565957,2016,1
44403525024991565976,2016,0
44405203464994565974,2016,0
44426858366184568285,2016,1
44441603462855564464,2016,0
44451692411046563464,2016,3
44456892391324563485,2016,0
44491684364660568264,2016,0
